Gene_Names,Gene_ID,Avg_Count
AL935295.1,LL0000000778,18
AL935295.2,LL0000000779,15
AL935299.1,LL0000000780,0
AL935300.1,LL0000000781,3
AL935300.2,LL0000000782,1
AL935300.3,LL0000000783,61
AL935303.1,LL0000000784,0
AL935322.1,LL0000000785,0
AL935334.1,LL0000000786,0
AL953841.1,LL0000000787,0
AL953841.2,LL0000000788,2
AL953848.2,LL0000000789,0
AL953855.1,LL0000000790,0
AL953858.1,LL0000000791,0
AL953865.1,LL0000000792,0
AL953866.1,LL0000000793,0
AL953867.1,LL0000000794,8
AL953867.2,LL0000000795,9
AL953875.1,LL0000000796,0
AL953886.1,LL0000000797,3
AL953886.2,LL0000000798,0
AL953893.1,LL0000000799,0
AL953894.1,LL0000000800,0
AL953896.1,LL0000000801,14
AL953903.1,LL0000000802,0
AL953903.2,LL0000000803,0
AL953903.3,LL0000000804,0
AL953907.1,LL0000000805,6
AL953907.2,LL0000000806,10
AL953910.1,LL0000000807,0
AL954129.1,LL0000000808,0
AL954134.1,LL0000000809,1
AL954134.2,LL0000000810,0
AL954137.1,LL0000000811,0
AL954137.2,LL0000000812,0
AL954138.1,LL0000000813,3
AL954142.1,LL0000000814,0
AL954142.2,LL0000000815,0
AL954142.3,LL0000000816,0
AL954145.1,LL0000000817,0
AL954145.2,LL0000000818,0
AL954146.1,LL0000000819,9
AL954149.1,LL0000000820,0
AL954149.2,LL0000000821,1
AL954187.1,LL0000000822,0
AL954191.1,LL0000000823,5
AL954317.1,LL0000000824,0
AL954320.1,LL0000000825,0
AL954322.2,LL0000000826,40
AL954322.3,LL0000000827,48
AL954327.1,LL0000000828,0
AL954359.1,LL0000000829,8
AL954361.1,LL0000000830,0
AL954387.1,LL0000000831,0
AL954655.1,LL0000000832,0
AL954655.2,LL0000000833,2
AL954666.1,LL0000000834,0
AL954669.1,LL0000000835,11
AL954672.1,LL0000000836,0
AL954682.1,LL0000000837,43
AL954694.1,LL0000000838,16
AL954694.2,LL0000000839,0
AL954695.1,LL0000000840,0
AL954695.2,LL0000000841,2
AL954695.3,LL0000000842,0
AL954696.1,LL0000000843,134
AL954696.2,LL0000000844,0
AL954698.1,LL0000000845,0
AL954698.2,LL0000000846,0
AL954703.1,LL0000000847,0
AL954741.1,LL0000000848,4
AL954741.2,LL0000000849,437
AL954767.1,LL0000000850,3
AL954831.1,LL0000000851,7
AL954832.1,LL0000000852,0
AL954848.1,LL0000000853,0
AL954861.1,LL0000000854,0
AL954861.2,LL0000000855,0
alad,LL0000000856,707
alas1,LL0000000857,14863
alas2,LL0000000858,56
alcama,LL0000000859,4221
alcamb,LL0000000860,6544
aldh16a1,LL0000000861,556
aldh18a1,LL0000000862,1493
aldh1a2,LL0000000863,351
aldh1a3,LL0000000864,136
aldh1l1,LL0000000865,2322
aldh1l2,LL0000000866,634
aldh2.1,LL0000000867,2595
aldh2.2,LL0000000868,8288
aldh3a1,LL0000000869,56
aldh3a2a,LL0000000870,628
aldh3a2b,LL0000000871,189
aldh3b1,LL0000000872,502
aldh3b2,LL0000000873,30
aldh4a1,LL0000000874,91
aldh5a1,LL0000000875,896
aldh6a1,LL0000000876,4806
aldh7a1,LL0000000877,1602
aldh8a1,LL0000000878,39
aldh9a1a.1,LL0000000879,13323
aldh9a1a.2,LL0000000880,80
aldh9a1b,LL0000000881,581
aldoaa,LL0000000882,5947
aldoab,LL0000000883,3470
aldob,LL0000000884,2319
aldoca,LL0000000885,0
aldocb,LL0000000886,3081
alg1,LL0000000887,579
alg10,LL0000000888,140
alg11,LL0000000889,233
alg12,LL0000000890,502
alg13,LL0000000891,9
alg14,LL0000000892,217
alg2,LL0000000893,833
alg3,LL0000000894,636
alg5,LL0000000895,1444
alg6,LL0000000896,556
alg8,LL0000000897,212
alg9,LL0000000898,566
alk,LL0000000899,0
alkal1,LL0000000900,8
alkal2a,LL0000000901,89
alkal2b,LL0000000902,0
alkbh1,LL0000000903,84
alkbh2,LL0000000904,100
alkbh3,LL0000000905,324
alkbh4,LL0000000906,58
alkbh5,LL0000000907,384
alkbh6,LL0000000908,213
alkbh7,LL0000000909,193
alkbh8,LL0000000910,132
allc,LL0000000911,8
alms1,LL0000000912,1081
alox12,LL0000000913,2581
alox5a,LL0000000914,1150
alox5ap,LL0000000915,7
alox5b.1,LL0000000916,0
alox5b.2,LL0000000917,14
alox5b.3,LL0000000918,0
ALOXE3,LL0000000919,10
alp3,LL0000000920,6
alpi.1,LL0000000921,3737
alpi.2,LL0000000922,53
alpk2,LL0000000923,28
alpk3a,LL0000000924,27
alpk3b,LL0000000925,0
alpl,LL0000000926,217
als2a,LL0000000927,718
als2b,LL0000000928,436
alx1,LL0000000929,16
alx4a,LL0000000930,78
alx4b,LL0000000931,5
alyref,LL0000000932,5916
amacr,LL0000000933,182
