Gene_Names,Gene_ID,Avg_Count
AL954695.3,LL0000000842,8
AL954696.1,LL0000000843,277
AL954696.2,LL0000000844,0
AL954698.1,LL0000000845,0
AL954698.2,LL0000000846,0
AL954703.1,LL0000000847,0
AL954741.1,LL0000000848,6
AL954741.2,LL0000000849,406
AL954767.1,LL0000000850,0
AL954831.1,LL0000000851,3
AL954832.1,LL0000000852,0
AL954848.1,LL0000000853,0
AL954861.1,LL0000000854,0
AL954861.2,LL0000000855,0
alad,LL0000000856,706
alas1,LL0000000857,16543
alas2,LL0000000858,68
alcama,LL0000000859,4916
alcamb,LL0000000860,8102
aldh16a1,LL0000000861,752
aldh18a1,LL0000000862,2244
aldh1a2,LL0000000863,1162
aldh1a3,LL0000000864,232
aldh1l1,LL0000000865,1703
aldh1l2,LL0000000866,1052
aldh2.1,LL0000000867,2236
aldh2.2,LL0000000868,7829
aldh3a1,LL0000000869,136
aldh3a2a,LL0000000870,664
aldh3a2b,LL0000000871,349
aldh3b1,LL0000000872,1294
aldh3b2,LL0000000873,19
aldh4a1,LL0000000874,309
aldh5a1,LL0000000875,662
aldh6a1,LL0000000876,5297
aldh7a1,LL0000000877,2280
aldh8a1,LL0000000878,117
aldh9a1a.1,LL0000000879,10803
aldh9a1a.2,LL0000000880,75
aldh9a1b,LL0000000881,628
aldoaa,LL0000000882,6003
aldoab,LL0000000883,1548
aldob,LL0000000884,5603
aldoca,LL0000000885,0
aldocb,LL0000000886,2199
alg1,LL0000000887,591
alg10,LL0000000888,141
alg11,LL0000000889,357
alg12,LL0000000890,594
alg13,LL0000000891,3
alg14,LL0000000892,175
alg2,LL0000000893,1514
alg3,LL0000000894,1050
alg5,LL0000000895,2051
alg6,LL0000000896,797
alg8,LL0000000897,278
alg9,LL0000000898,1044
alk,LL0000000899,8
alkal1,LL0000000900,0
alkal2a,LL0000000901,52
alkal2b,LL0000000902,3
alkbh1,LL0000000903,99
alkbh2,LL0000000904,100
alkbh3,LL0000000905,465
alkbh4,LL0000000906,74
alkbh5,LL0000000907,460
alkbh6,LL0000000908,224
alkbh7,LL0000000909,185
alkbh8,LL0000000910,149
allc,LL0000000911,7
alms1,LL0000000912,931
alox12,LL0000000913,2811
alox5a,LL0000000914,733
alox5ap,LL0000000915,2
alox5b.1,LL0000000916,0
alox5b.2,LL0000000917,0
alox5b.3,LL0000000918,0
ALOXE3,LL0000000919,0
